country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","01-06-2026 17:00:00",25.610369,85.132568,SO2,1,21,11
India,Bihar,Patna,"Muradpur, Patna - BSPCB","01-06-2026 17:00:00",25.619651,85.147382,OZONE,4,95,59
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","01-06-2026 17:00:00",25.599486,85.113666,PM2.5,48,85,62
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","01-06-2026 17:00:00",25.599486,85.113666,SO2,2,33,12
India,Bihar,Patna,"Samanpura, Patna - BSPCB","01-06-2026 17:00:00",25.596727,85.085624,NO2,14,23,19
India,Bihar,Patna,"Samanpura, Patna - BSPCB","01-06-2026 17:00:00",25.596727,85.085624,NH3,4,5,4
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-06-2026 17:00:00",25.366336,87.117468,PM2.5,58,82,68
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-06-2026 17:00:00",25.366336,87.117468,NO2,5,6,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","01-06-2026 17:00:00",25.366336,87.117468,NH3,2,2,2
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","01-06-2026 17:00:00",25.03280,85.41948,CO,38,44,41
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","01-06-2026 17:00:00",25.892357,86.590325,OZONE,3,37,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","01-06-2026 17:00:00",25.859655,85.77944,PM10,12,178,58
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","01-06-2026 17:00:00",25.859655,85.77944,NH3,1,2,1
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","01-06-2026 17:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","01-06-2026 17:00:00",30.735567,76.775714,PM2.5,2,68,26
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","01-06-2026 17:00:00",30.735567,76.775714,PM10,11,67,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","01-06-2026 17:00:00",30.751462,76.762879,PM10,16,90,51
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","01-06-2026 17:00:00",22.1910172,83.5197009,OZONE,62,156,104
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","01-06-2026 17:00:00",21.219665,81.630094,PM2.5,7,24,14
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","01-06-2026 17:00:00",21.219665,81.630094,CO,12,52,21
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","01-06-2026 17:00:00",21.237755,81.705301,PM2.5,21,39,27
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","01-06-2026 17:00:00",21.237755,81.705301,PM10,17,60,33
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","01-06-2026 17:00:00",21.237755,81.705301,SO2,1,49,12
India,Delhi,Delhi,"Alipur, Delhi - DPCC","01-06-2026 17:00:00",28.815329,77.153010,PM2.5,37,180,72
India,Delhi,Delhi,"Alipur, Delhi - DPCC","01-06-2026 17:00:00",28.815329,77.153010,SO2,6,26,13
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","01-06-2026 17:00:00",28.647622,77.3158090,SO2,4,43,35
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","01-06-2026 17:00:00",28.695381,77.181665,PM10,67,162,97
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","01-06-2026 17:00:00",28.695381,77.181665,NO2,9,71,30
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","01-06-2026 17:00:00",28.695381,77.181665,NH3,7,35,8
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","01-06-2026 17:00:00",28.4706914,77.1099364,PM2.5,18,107,59
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","01-06-2026 17:00:00",28.4706914,77.1099364,NO2,2,18,13
India,Delhi,Delhi,"Bawana, Delhi - DPCC","01-06-2026 17:00:00",28.776200,77.051074,NO2,6,19,13
India,Delhi,Delhi,"Bawana, Delhi - DPCC","01-06-2026 17:00:00",28.776200,77.051074,CO,38,65,44
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","01-06-2026 17:00:00",30.751462,76.762879,NO2,8,53,22
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","01-06-2026 17:00:00",30.751462,76.762879,SO2,5,17,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","01-06-2026 17:00:00",30.719859,76.738637,PM10,5,58,25
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","01-06-2026 17:00:00",21.194815,81.314770,SO2,9,46,19
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","01-06-2026 17:00:00",21.185571,81.343175,SO2,6,11,8
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","01-06-2026 17:00:00",21.224231,81.408350,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","01-06-2026 17:00:00",21.224231,81.408350,SO2,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","01-06-2026 17:00:00",22.08815,82.13737,CO,12,46,33
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","01-06-2026 17:00:00",22.118125,83.140608,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","01-06-2026 17:00:00",22.368195,82.746431,NO2,15,81,36
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","01-06-2026 17:00:00",22.348441,82.549611,CO,16,33,26
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","01-06-2026 17:00:00",22.126650,83.483212,NH3,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","01-06-2026 17:00:00",22.1910172,83.5197009,NH3,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","01-06-2026 17:00:00",25.5626095,84.663264,PM10,6,34,20
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","01-06-2026 17:00:00",24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","01-06-2026 17:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","01-06-2026 17:00:00",25.251013,86.989001,OZONE,17,22,20
