country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",01-06-2026 17:00:00,NO2,25.435774,75.644272,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",01-06-2026 17:00:00,PM10,26.0881305,87.93840336,49.0,135.0,106.0,89.08
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",01-06-2026 17:00:00,CO,34.066206,74.81982,11.0,11.0,11.0,10.61
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",01-06-2026 17:00:00,PM10,26.031443,76.359327,55.0,198.0,104.0,101.36
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",01-06-2026 17:00:00,SO2,21.224231,81.40835,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB",01-06-2026 17:00:00,PM2.5,19.173852,77.296291,22.0,48.0,36.0,32.63
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",01-06-2026 17:00:00,PM2.5,25.3505986,82.9083074,52.0,88.0,67.0,65.56
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",01-06-2026 17:00:00,PM2.5,27.168897,78.37696,18.0,38.0,28.0,26.65
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",01-06-2026 17:00:00,OZONE,28.4501238,77.0263051,4.0,31.0,24.0,20.31
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",01-06-2026 17:00:00,PM2.5,26.987634,94.636574,11.0,26.0,17.0,17.06
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",01-06-2026 17:00:00,NH3,13.4127,80.1081,1.0,1.0,1.0,1.02
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",01-06-2026 17:00:00,SO2,27.608912,75.153302,3.0,6.0,4.0,4.09
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",01-06-2026 17:00:00,PM2.5,21.219665,81.630094,7.0,24.0,14.0,14.4
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",01-06-2026 17:00:00,NO2,28.999264,77.7590354,29.0,54.0,43.0,38.18
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",01-06-2026 17:00:00,PM2.5,24.10897,82.64558,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",01-06-2026 17:00:00,NO2,22.58157048,88.41002457,12.0,13.0,13.0,11.96
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",01-06-2026 17:00:00,CO,26.1403345,85.3650192,16.0,36.0,32.0,24.73
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",01-06-2026 17:00:00,CO,21.371751,81.664929,17.0,18.0,17.0,17.84
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",01-06-2026 17:00:00,CO,11.875,75.3732,10.0,12.0,11.0,11.16
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",01-06-2026 17:00:00,NO2,21.606865,85.510538,10.0,10.0,10.0,10.59
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",01-06-2026 17:00:00,OZONE,25.204762,85.51496,2.0,2.0,2.0,2.09
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",01-06-2026 17:00:00,OZONE,23.221714,72.654328,5.0,37.0,17.0,21.03
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",01-06-2026 17:00:00,PM2.5,16.536107,80.594233,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB",01-06-2026 17:00:00,CO,25.196024,75.855668,2.0,104.0,14.0,23.91
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",01-06-2026 17:00:00,PM2.5,21.606865,85.510538,30.0,59.0,43.0,42.79
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",01-06-2026 17:00:00,PM2.5,29.0272,77.0621,102.0,114.0,108.0,107.69
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",01-06-2026 17:00:00,OZONE,25.435774,75.644272,35.0,74.0,60.0,53.61
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM",01-06-2026 17:00:00,OZONE,18.57304,73.927715,14.0,46.0,35.0,23.31
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",01-06-2026 17:00:00,CO,17.5184,78.278777,10.0,32.0,18.0,20.14
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",01-06-2026 17:00:00,NO2,28.672342,77.31526,32.0,84.0,53.0,52.46
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",01-06-2026 17:00:00,CO,28.406963,77.849831,16.0,86.0,57.0,40.88
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",01-06-2026 17:00:00,NH3,20.9402359,77.7895248,2.0,7.0,5.0,3.88
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",01-06-2026 17:00:00,PM10,19.1878657,72.8304069,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
